squirrel_id,latitude,longitude,shift,date,age,color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
12B-AM-1007-01,40.7757957380463,-73.9742073452913,AM,2018-10-07,Adult,Gray,Ground Plane,,False,True,False,False,False,,False,False,False,True,False,False,True,False
18A-PM-1018-01,40.7813911036179,-73.9716147061553,PM,2018-10-18,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
36H-PM-1008-02,40.7928711760061,-73.9535410657077,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
29C-AM-1007-06,40.7891774637988,-73.9639159298446,AM,2018-10-07,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
38C-PM-1014-09,40.7959337795027,-73.9579564338627,PM,2018-10-14,Adult,Black,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False
31H-PM-1008-02,40.7892508428622,-73.9574648097543,PM,2018-10-08,Juvenile,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False
8H-AM-1017-06,40.7705999588222,-73.970252675331,AM,2018-10-17,Adult,Gray,Above Ground,,False,True,False,True,False,,False,False,False,False,False,False,True,False
34F-AM-1007-01,40.7918613498407,-73.9579645940414,AM,2018-10-07,Adult,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True
13H-PM-1010-02,40.7749505252981,-73.9673253417305,PM,2018-10-10,Adult,Gray,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False
22F-PM-1014-06,40.7820309825448,-73.9640032826529,PM,2018-10-14,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False
32E-AM-1007-13,40.7905847332369,-73.9595933195409,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
35C-AM-1007-05,40.793779699421,-73.9602222116708,AM,2018-10-07,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
17E-AM-1017-05,40.779249873647,-73.9680635070949,AM,2018-10-17,Adult,Black,Above Ground,Branch,False,False,False,False,True,,False,False,False,False,False,False,True,False
2B-PM-1013-01,40.7686905339212,-73.9801666435401,PM,2018-10-13,Adult,Gray,Ground Plane,,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
19D-AM-1007-01,40.7813477352507,-73.9675634326877,AM,2018-10-07,Juvenile,Gray,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,False
40B-AM-1019-03,40.7982886348696,-73.9584970643213,AM,2018-10-19,Juvenile,Gray,Ground Plane,,True,True,False,False,False,,False,False,False,False,True,True,False,False
3E-PM-1008-07,40.7681954366911,-73.9760298241178,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
39C-PM-1006-01,40.7972399133816,-73.9568802149818,PM,2018-10-06,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False
6G-AM-1008-02,40.7690526441109,-73.9724642436394,AM,2018-10-08,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,,False,False,False,False,False,False,True,False
14F-AM-1007-05,40.7760432720017,-73.9690175838534,AM,2018-10-07,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
6I-PM-1013-06,40.7690280985956,-73.9704082821356,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
15F-PM-1010-05,40.7768811640021,-73.9684910712272,PM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
8B-PM-1012-02,40.7735232648872,-73.9768674812942,PM,2018-10-12,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,,False,False,False,False,False,False,False,True
3A-PM-1017-06,40.7698885241349,-73.9797084866613,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
36I-AM-1017-02,40.7923130402793,-73.952819267977,AM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5E-AM-1008-06,40.7692602628745,-73.9745630038492,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False
32E-PM-1017-13,40.7903365788694,-73.9595002339508,PM,2018-10-17,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
5F-PM-1007-03,40.7689486657963,-73.9741824992294,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
11B-PM-1014-05,40.7761393551781,-73.9749243901189,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
16E-PM-1018-06,40.7780143443779,-73.968381325559,PM,2018-10-18,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False
13F-AM-1007-02,40.7755898126674,-73.9694240327509,AM,2018-10-07,Adult,Cinnamon,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
20B-PM-1013-10,40.7828364735236,-73.9689000978955,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
3A-PM-1017-05,40.7696753655986,-73.9804528867547,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
29H-PM-1006-01,40.7873862510001,-73.9576245992455,PM,2018-10-06,Adult,Gray,Above Ground,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
23C-PM-1014-03,40.7845098131567,-73.9666007935638,PM,2018-10-14,Adult,Gray,Above Ground,,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
33C-PM-1007-03,40.7922645521905,-73.96148483609,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
